,arr_time,dep_time,dur_hours,dur_minutes,parse_time,fl_class,fl_from,fl_to
64,2013-05-15 21:35,2013-05-15 15:40,7,55,2013-05-10 23:51,E,MOW,PAR
65,2013-05-28 14:50,2013-05-28 07:00,5,50,2013-05-10 23:51,E,MOW,PAR
66,2013-05-15 19:15,2013-05-15 15:40,5,35,2013-05-10 23:51,E,MOW,PAR
67,2013-05-15 21:35,2013-05-15 15:40,7,55,2013-05-10 23:51,E,MOW,PAR
68,2013-05-28 14:45,2013-05-28 06:10,6,35,2013-05-10 23:51,E,MOW,PAR
69,2013-05-15 21:55,2013-05-15 18:35,5,20,2013-05-10 23:51,E,MOW,PAR
70,2013-05-28 20:05,2013-05-28 11:00,7,5,2013-05-10 23:51,E,MOW,PAR
71,2013-05-15 22:20,2013-05-15 16:30,7,50,2013-05-10 23:51,E,MOW,PAR
72,2013-05-28 15:35,2013-05-28 07:25,6,10,2013-05-10 23:51,E,MOW,PAR
73,2013-05-28 21:40,2013-05-28 13:25,6,15,2013-05-10 23:51,E,MOW,PAR
74,2013-05-29 04:05,2013-05-28 20:20,5,45,2013-05-10 23:51,E,MOW,PAR
75,2013-05-15 21:55,2013-05-15 18:35,5,20,2013-05-10 23:51,E,MOW,PAR
76,2013-05-28 14:45,2013-05-28 06:10,6,35,2013-05-10 23:51,E,MOW,PAR
77,2013-05-15 13:15,2013-05-15 06:35,8,40,2013-05-10 23:51,E,MOW,PAR
78,2013-05-15 10:10,2013-05-15 06:35,5,35,2013-05-10 23:51,E,MOW,PAR
79,2013-05-15 11:40,2013-05-15 06:35,7,5,2013-05-10 23:51,E,MOW,PAR
80,2013-05-15 21:40,2013-05-15 18:00,5,40,2013-05-10 23:51,E,MOW,PAR
81,2013-05-28 14:35,2013-05-28 07:00,5,35,2013-05-10 23:51,E,MOW,PAR
82,2013-05-29 02:25,2013-05-28 18:30,5,55,2013-05-10 23:51,E,MOW,PAR
83,2013-05-15 19:35,2013-05-15 15:45,5,50,2013-05-10 23:51,E,MOW,PAR
84,2013-05-15 22:05,2013-05-15 15:45,8,20,2013-05-10 23:51,E,MOW,PAR
85,2013-05-28 17:30,2013-05-28 09:20,6,10,2013-05-10 23:51,E,MOW,PAR
86,2013-05-15 21:55,2013-05-15 18:35,5,20,2013-05-10 23:51,E,MOW,PAR
87,2013-05-28 14:50,2013-05-28 07:00,5,50,2013-05-10 23:51,E,MOW,PAR
88,2013-05-15 21:55,2013-05-15 18:35,5,20,2013-05-10 23:51,E,MOW,PAR
89,2013-05-28 17:55,2013-05-28 09:50,6,5,2013-05-10 23:51,E,MOW,PAR
90,2013-05-15 19:15,2013-05-15 15:40,5,35,2013-05-10 23:51,E,MOW,PAR
91,2013-05-15 21:35,2013-05-15 15:40,7,55,2013-05-10 23:51,E,MOW,PAR
92,2013-05-28 15:10,2013-05-28 07:15,5,55,2013-05-10 23:51,E,MOW,PAR
93,2013-05-28 16:35,2013-05-28 07:15,7,20,2013-05-10 23:51,E,MOW,PAR
94,2013-05-15 19:35,2013-05-15 16:00,5,35,2013-05-10 23:51,E,MOW,PAR
95,2013-05-28 15:35,2013-05-28 07:25,6,10,2013-05-10 23:51,E,MOW,PAR
96,2013-05-28 21:40,2013-05-28 13:25,6,15,2013-05-10 23:51,E,MOW,PAR
97,2013-05-29 04:05,2013-05-28 20:20,5,45,2013-05-10 23:51,E,MOW,PAR
98,2013-05-15 08:10,2013-05-15 04:55,5,15,2013-05-10 23:51,E,MOW,PAR
99,2013-05-28 15:45,2013-05-28 08:55,4,50,2013-05-10 23:51,E,MOW,PAR
100,2013-05-29 03:50,2013-05-28 21:00,4,50,2013-05-10 23:51,E,MOW,PAR
101,2013-05-15 09:25,2013-05-15 05:30,5,55,2013-05-10 23:51,E,MOW,PAR
102,2013-05-15 10:45,2013-05-15 05:30,7,15,2013-05-10 23:51,E,MOW,PAR
103,2013-05-15 12:00,2013-05-15 05:30,8,30,2013-05-10 23:51,E,MOW,PAR
104,2013-05-28 17:00,2013-05-28 08:45,6,15,2013-05-10 23:51,E,MOW,PAR
105,2013-05-28 18:15,2013-05-28 09:35,6,40,2013-05-10 23:51,E,MOW,PAR
106,2013-05-28 17:00,2013-05-28 09:35,5,25,2013-05-10 23:51,E,MOW,PAR
107,2013-05-28 18:15,2013-05-28 10:20,5,55,2013-05-10 23:51,E,MOW,PAR
108,2013-05-29 02:05,2013-05-28 16:40,7,25,2013-05-10 23:51,E,MOW,PAR
109,2013-05-29 02:05,2013-05-28 18:40,5,25,2013-05-10 23:51,E,MOW,PAR
110,2013-05-15 21:55,2013-05-15 18:35,5,20,2013-05-10 23:51,E,MOW,PAR
111,2013-05-28 15:10,2013-05-28 07:15,5,55,2013-05-10 23:51,E,MOW,PAR
112,2013-05-28 16:35,2013-05-28 07:15,7,20,2013-05-10 23:51,E,MOW,PAR
113,2013-05-15 19:35,2013-05-15 15:45,5,50,2013-05-10 23:51,E,MOW,PAR
114,2013-05-15 22:05,2013-05-15 15:45,8,20,2013-05-10 23:51,E,MOW,PAR
115,2013-05-28 14:45,2013-05-28 06:10,6,35,2013-05-10 23:51,E,MOW,PAR
