,raw
1024,CDG13:1015&nbsp;Мая
1025,4 ч. 0 мин.
1026,Вылет
1027,Прилет
1028,В пути
1029,CDG11:4528&nbsp;Мая
1030,SVO17:2028&nbsp;Мая
1031,3 ч. 35 мин.
1032,CDG14:0028&nbsp;Мая
1033,SVO19:3028&nbsp;Мая
1034,3 ч. 30 мин.
1035,CDG18:1028&nbsp;Мая
1036,SVO23:4528&nbsp;Мая
1037,3 ч. 35 мин.
1038,Вылет
1039,Прилет
1040,В пути
1041,SVO11:1015&nbsp;Мая
1042,CDG13:1015&nbsp;Мая
1043,4 ч. 0 мин.
1044,SVO12:4015&nbsp;Мая
1045,CDG14:3515&nbsp;Мая
1046,3 ч. 55 мин.
1047,SVO14:1015&nbsp;Мая
1048,CDG16:0515&nbsp;Мая
1049,3 ч. 55 мин.
1050,SVO15:0515&nbsp;Мая
1051,CDG17:0015&nbsp;Мая
1052,3 ч. 55 мин.
1053,Вылет
1054,Прилет
1055,В пути
1056,CDG07:3028&nbsp;Мая
1057,SVO13:1028&nbsp;Мая
1058,3 ч. 40 мин.
1059,CDG12:4528&nbsp;Мая
1060,SVO18:3528&nbsp;Мая
1061,3 ч. 50 мин.
1062,CDG16:0028&nbsp;Мая
1063,SVO21:4028&nbsp;Мая
1064,3 ч. 40 мин.
1065,CDG19:3028&nbsp;Мая
1066,SVO01:1029&nbsp;Мая
1067,3 ч. 40 мин.
1068,Вылет
1069,Прилет
1070,В пути
1071,SVO07:2515&nbsp;Мая
1072,CDG09:2015&nbsp;Мая
1073,3 ч. 55 мин.
1074,SVO09:4515&nbsp;Мая
1075,CDG11:4015&nbsp;Мая
1076,3 ч. 55 мин.
1077,SVO12:4015&nbsp;Мая
1078,CDG14:3515&nbsp;Мая
1079,3 ч. 55 мин.
1080,SVO14:1015&nbsp;Мая
1081,CDG16:0515&nbsp;Мая
1082,3 ч. 55 мин.
1083,SVO15:0515&nbsp;Мая
1084,CDG17:0015&nbsp;Мая
1085,3 ч. 55 мин.
1086,SVO16:1515&nbsp;Мая
1087,CDG18:1015&nbsp;Мая
1088,3 ч. 55 мин.
1089,Вылет
1090,Прилет
1091,В пути
1092,CDG07:3028&nbsp;Мая
1093,SVO13:1028&nbsp;Мая
1094,3 ч. 40 мин.
1095,CDG19:3028&nbsp;Мая
1096,SVO01:1029&nbsp;Мая
1097,3 ч. 40 мин.
1098,Вылет
1099,Прилет
1100,В пути
1101,SVO19:4515&nbsp;Мая
1102,CDG21:4015&nbsp;Мая
1103,3 ч. 55 мин.
1104,Вылет
1105,Прилет
1106,В пути
1107,CDG09:3528&nbsp;Мая
1108,SVO15:1528&nbsp;Мая
1109,3 ч. 40 мин.
1110,CDG12:4528&nbsp;Мая
1111,SVO18:3528&nbsp;Мая
1112,3 ч. 50 мин.
1113,CDG15:5528&nbsp;Мая
1114,SVO21:2528&nbsp;Мая
1115,3 ч. 30 мин.
1116,CDG23:2528&nbsp;Мая
1117,SVO05:0029&nbsp;Мая
1118,3 ч. 35 мин.
1119,Вылет
1120,Прилет
1121,В пути
1122,SVO11:1015&nbsp;Мая
1123,CDG13:1015&nbsp;Мая
1124,4 ч. 0 мин.
1125,SVO12:4015&nbsp;Мая
1126,CDG14:3515&nbsp;Мая
1127,3 ч. 55 мин.
1128,SVO14:1015&nbsp;Мая
1129,CDG16:0515&nbsp;Мая
1130,3 ч. 55 мин.
1131,SVO15:0515&nbsp;Мая
1132,CDG17:0015&nbsp;Мая
1133,3 ч. 55 мин.
1134,Вылет
1135,Прилет
1136,В пути
1137,CDG18:1028&nbsp;Мая
1138,SVO23:4528&nbsp;Мая
1139,3 ч. 35 мин.
1140,CDG23:2528&nbsp;Мая
1141,SVO05:0029&nbsp;Мая
1142,3 ч. 35 мин.
1143,Вылет
1144,Прилет
1145,В пути
1146,SVO07:2515&nbsp;Мая
1147,CDG09:2015&nbsp;Мая
1148,3 ч. 55 мин.
1149,SVO08:5015&nbsp;Мая
1150,CDG10:4515&nbsp;Мая
1151,3 ч. 55 мин.
1152,SVO09:4515&nbsp;Мая
1153,CDG11:4015&nbsp;Мая
1154,3 ч. 55 мин.
1155,SVO16:1515&nbsp;Мая
1156,CDG18:1015&nbsp;Мая
1157,3 ч. 55 мин.
1158,SVO19:4515&nbsp;Мая
1159,CDG21:4015&nbsp;Мая
1160,3 ч. 55 мин.
1161,Вылет
1162,Прилет
1163,В пути
1164,CDG07:3028&nbsp;Мая
1165,SVO13:1028&nbsp;Мая
1166,3 ч. 40 мин.
1167,CDG12:4528&nbsp;Мая
1168,SVO18:3528&nbsp;Мая
1169,3 ч. 50 мин.
1170,CDG16:0028&nbsp;Мая
1171,SVO21:4028&nbsp;Мая
1172,3 ч. 40 мин.
1173,CDG19:3028&nbsp;Мая
1174,SVO01:1029&nbsp;Мая
1175,3 ч. 40 мин.
1176,Вылет
1177,Прилет
1178,В пути
1179,SVO11:1015&nbsp;Мая
1180,CDG13:1015&nbsp;Мая
1181,4 ч. 0 мин.
1182,Вылет
1183,Прилет
1184,В пути
1185,CDG07:3028&nbsp;Мая
1186,SVO13:1028&nbsp;Мая
1187,3 ч. 40 мин.
1188,CDG19:3028&nbsp;Мая
1189,SVO01:1029&nbsp;Мая
1190,3 ч. 40 мин.
1191,Вылет
1192,Прилет
1193,В пути
1194,SVO19:4515&nbsp;Мая
1195,CDG21:4015&nbsp;Мая
1196,3 ч. 55 мин.
1197,Вылет
1198,Прилет
1199,В пути
1200,CDG11:4528&nbsp;Мая
1201,SVO17:2028&nbsp;Мая
1202,3 ч. 35 мин.
1203,CDG14:0028&nbsp;Мая
1204,SVO19:3028&nbsp;Мая
1205,3 ч. 30 мин.
1206,CDG18:1028&nbsp;Мая
1207,SVO23:4528&nbsp;Мая
1208,3 ч. 35 мин.
1209,Вылет
1210,Прилет
1211,В пути
1212,SVO07:2515&nbsp;Мая
1213,CDG09:2015&nbsp;Мая
1214,3 ч. 55 мин.
1215,SVO08:5015&nbsp;Мая
1216,CDG10:4515&nbsp;Мая
1217,3 ч. 55 мин.
1218,SVO09:4515&nbsp;Мая
1219,CDG11:4015&nbsp;Мая
1220,3 ч. 55 мин.
1221,SVO16:1515&nbsp;Мая
1222,CDG18:1015&nbsp;Мая
1223,3 ч. 55 мин.
1224,SVO19:4515&nbsp;Мая
1225,CDG21:4015&nbsp;Мая
1226,3 ч. 55 мин.
1227,Вылет
1228,Прилет
1229,В пути
1230,CDG18:1028&nbsp;Мая
1231,SVO23:4528&nbsp;Мая
1232,3 ч. 35 мин.
1233,CDG23:2528&nbsp;Мая
1234,SVO05:0029&nbsp;Мая
1235,3 ч. 35 мин.
1236,Вылет
1237,Прилет
1238,В пути
1239,SVO17:2015&nbsp;Мая
1240,CDG22:2015&nbsp;Мая
1241,7 ч. 0 мин.
1242,SVO18:5015&nbsp;Мая
1243,CDG22:2015&nbsp;Мая
1244,5 ч. 30 мин.
1245,Вылет
1246,Прилет
1247,В пути
1248,CDG11:0028&nbsp;Мая
1249,SVO20:0528&nbsp;Мая
1250,7 ч. 5 мин.
1251,Вылет
1252,Прилет
1253,В пути
1254,SVO11:1015&nbsp;Мая
1255,CDG13:1015&nbsp;Мая
1256,4 ч. 0 мин.
1257,SVO12:4015&nbsp;Мая
1258,CDG14:3515&nbsp;Мая
1259,3 ч. 55 мин.
1260,SVO14:1015&nbsp;Мая
1261,CDG16:0515&nbsp;Мая
1262,3 ч. 55 мин.
1263,SVO15:0515&nbsp;Мая
1264,CDG17:0015&nbsp;Мая
1265,3 ч. 55 мин.
1266,Вылет
1267,Прилет
1268,В пути
1269,CDG11:4528&nbsp;Мая
1270,SVO17:2028&nbsp;Мая
1271,3 ч. 35 мин.
1272,Вылет
1273,Прилет
1274,В пути
1275,SVO19:4515&nbsp;Мая
1276,CDG21:4015&nbsp;Мая
1277,3 ч. 55 мин.
1278,Вылет
1279,Прилет
1280,В пути
1281,CDG07:3028&nbsp;Мая
1282,SVO13:1028&nbsp;Мая
1283,3 ч. 40 мин.
1284,CDG19:3028&nbsp;Мая
1285,SVO01:1029&nbsp;Мая
1286,3 ч. 40 мин.
1287,Вылет
1288,Прилет
1289,В пути
1290,SVO18:5515&nbsp;Мая
1291,CDG20:5515&nbsp;Мая
1292,4 ч. 0 мин.
1293,Вылет
1294,Прилет
1295,В пути
1296,CDG07:3028&nbsp;Мая
1297,SVO13:1028&nbsp;Мая
1298,3 ч. 40 мин.
1299,CDG12:4528&nbsp;Мая
1300,SVO18:3528&nbsp;Мая
1301,3 ч. 50 мин.
1302,CDG16:0028&nbsp;Мая
1303,SVO21:4028&nbsp;Мая
1304,3 ч. 40 мин.
1305,CDG19:3028&nbsp;Мая
1306,SVO01:1029&nbsp;Мая
1307,3 ч. 40 мин.
1308,Вылет
1309,Прилет
1310,В пути
1311,SVO07:2515&nbsp;Мая
1312,CDG09:2015&nbsp;Мая
1313,3 ч. 55 мин.
1314,SVO09:4515&nbsp;Мая
1315,CDG11:4015&nbsp;Мая
1316,3 ч. 55 мин.
1317,SVO12:4015&nbsp;Мая
1318,CDG14:3515&nbsp;Мая
1319,3 ч. 55 мин.
1320,SVO14:1015&nbsp;Мая
1321,CDG16:0515&nbsp;Мая
1322,3 ч. 55 мин.
1323,SVO15:0515&nbsp;Мая
1324,CDG17:0015&nbsp;Мая
1325,3 ч. 55 мин.
1326,SVO16:1515&nbsp;Мая
1327,CDG18:1015&nbsp;Мая
1328,3 ч. 55 мин.
1329,Вылет
1330,Прилет
1331,В пути
1332,CDG16:0028&nbsp;Мая
1333,SVO21:4028&nbsp;Мая
1334,3 ч. 40 мин.
1335,Вылет
1336,Прилет
1337,В пути
1338,SVO08:5015&nbsp;Мая
1339,CDG10:4515&nbsp;Мая
1340,3 ч. 55 мин.
1341,SVO18:5515&nbsp;Мая
1342,CDG20:5515&nbsp;Мая
1343,4 ч. 0 мин.
1344,Вылет
1345,Прилет
1346,В пути
1347,CDG09:3528&nbsp;Мая
1348,SVO15:1528&nbsp;Мая
1349,3 ч. 40 мин.
1350,CDG12:4528&nbsp;Мая
1351,SVO18:3528&nbsp;Мая
1352,3 ч. 50 мин.
1353,CDG15:5528&nbsp;Мая
1354,SVO21:2528&nbsp;Мая
1355,3 ч. 30 мин.
1356,CDG23:2528&nbsp;Мая
1357,SVO05:0029&nbsp;Мая
1358,3 ч. 35 мин.
1359,Вылет
1360,Прилет
1361,В пути
1362,SVO18:5515&nbsp;Мая
1363,CDG20:5515&nbsp;Мая
1364,4 ч. 0 мин.
1365,Вылет
1366,Прилет
1367,В пути
1368,CDG18:1028&nbsp;Мая
1369,SVO23:4528&nbsp;Мая
1370,3 ч. 35 мин.
1371,CDG23:2528&nbsp;Мая
1372,SVO05:0029&nbsp;Мая
1373,3 ч. 35 мин.
1374,Вылет
1375,Прилет
1376,В пути
1377,SVO07:2515&nbsp;Мая
1378,CDG09:2015&nbsp;Мая
1379,3 ч. 55 мин.
1380,SVO08:5015&nbsp;Мая
1381,CDG10:4515&nbsp;Мая
1382,3 ч. 55 мин.
1383,SVO09:4515&nbsp;Мая
1384,CDG11:4015&nbsp;Мая
1385,3 ч. 55 мин.
1386,SVO16:1515&nbsp;Мая
1387,CDG18:1015&nbsp;Мая
1388,3 ч. 55 мин.
1389,SVO19:4515&nbsp;Мая
1390,CDG21:4015&nbsp;Мая
1391,3 ч. 55 мин.
1392,Вылет
1393,Прилет
1394,В пути
1395,CDG11:4528&nbsp;Мая
1396,SVO17:2028&nbsp;Мая
1397,3 ч. 35 мин.
1398,Вылет
1399,Прилет
1400,В пути
1401,SVO11:1015&nbsp;Мая
1402,CDG13:1015&nbsp;Мая
1403,4 ч. 0 мин.
1404,SVO12:4015&nbsp;Мая
1405,CDG14:3515&nbsp;Мая
1406,3 ч. 55 мин.
1407,SVO14:1015&nbsp;Мая
1408,CDG16:0515&nbsp;Мая
1409,3 ч. 55 мин.
1410,SVO15:0515&nbsp;Мая
1411,CDG17:0015&nbsp;Мая
1412,3 ч. 55 мин.
1413,Вылет
1414,Прилет
1415,В пути
1416,CDG09:3528&nbsp;Мая
1417,SVO15:1528&nbsp;Мая
1418,3 ч. 40 мин.
1419,CDG14:0028&nbsp;Мая
1420,SVO19:3028&nbsp;Мая
1421,3 ч. 30 мин.
1422,CDG15:5528&nbsp;Мая
1423,SVO21:2528&nbsp;Мая
1424,3 ч. 30 мин.
1425,Вылет
1426,Прилет
1427,В пути
1428,SVO11:1015&nbsp;Мая
1429,CDG13:1015&nbsp;Мая
1430,4 ч. 0 мин.
1431,Вылет
1432,Прилет
1433,В пути
1434,CDG16:0028&nbsp;Мая
1435,SVO21:4028&nbsp;Мая
1436,3 ч. 40 мин.
1437,Вылет
1438,Прилет
1439,В пути
1440,SVO08:5015&nbsp;Мая
1441,CDG10:4515&nbsp;Мая
1442,3 ч. 55 мин.
1443,SVO18:5515&nbsp;Мая
1444,CDG20:5515&nbsp;Мая
1445,4 ч. 0 мин.
1446,Вылет
1447,Прилет
1448,В пути
1449,CDG11:4528&nbsp;Мая
1450,SVO17:2028&nbsp;Мая
1451,3 ч. 35 мин.
1452,CDG14:0028&nbsp;Мая
1453,SVO19:3028&nbsp;Мая
1454,3 ч. 30 мин.
1455,CDG18:1028&nbsp;Мая
1456,SVO23:4528&nbsp;Мая
1457,3 ч. 35 мин.
1458,Вылет
1459,Прилет
1460,В пути
1461,SVO17:1015&nbsp;Мая
1462,CDG21:3515&nbsp;Мая
1463,6 ч. 25 мин.
1464,Вылет
1465,Прилет
1466,В пути
1467,CDG12:2028&nbsp;Мая
1468,SVO21:3028&nbsp;Мая
1469,7 ч. 10 мин.
1470,Вылет
1471,Прилет
1472,В пути
1473,SVO07:2515&nbsp;Мая
1474,CDG09:2015&nbsp;Мая
1475,3 ч. 55 мин.
1476,SVO08:5015&nbsp;Мая
1477,CDG10:4515&nbsp;Мая
1478,3 ч. 55 мин.
1479,SVO09:4515&nbsp;Мая
1480,CDG11:4015&nbsp;Мая
1481,3 ч. 55 мин.
1482,SVO16:1515&nbsp;Мая
1483,CDG18:1015&nbsp;Мая
1484,3 ч. 55 мин.
1485,SVO19:4515&nbsp;Мая
1486,CDG21:4015&nbsp;Мая
1487,3 ч. 55 мин.
1488,Вылет
1489,Прилет
1490,В пути
1491,CDG09:3528&nbsp;Мая
1492,SVO15:1528&nbsp;Мая
1493,3 ч. 40 мин.
1494,CDG14:0028&nbsp;Мая
1495,SVO19:3028&nbsp;Мая
1496,3 ч. 30 мин.
1497,CDG15:5528&nbsp;Мая
1498,SVO21:2528&nbsp;Мая
1499,3 ч. 30 мин.
1500,Вылет
1501,Прилет
1502,В пути
1503,SVO18:5515&nbsp;Мая
1504,CDG20:5515&nbsp;Мая
1505,4 ч. 0 мин.
1506,Вылет
1507,Прилет
1508,В пути
1509,CDG11:4528&nbsp;Мая
1510,SVO17:2028&nbsp;Мая
1511,3 ч. 35 мин.
1512,Вылет
1513,Прилет
1514,В пути
1515,SVO19:4515&nbsp;Мая
1516,CDG21:4015&nbsp;Мая
1517,3 ч. 55 мин.
1518,Вылет
1519,Прилет
1520,В пути
1521,CDG16:0028&nbsp;Мая
1522,SVO21:4028&nbsp;Мая
1523,3 ч. 40 мин.
1524,Вылет
1525,Прилет
1526,В пути
1527,SVO08:5015&nbsp;Мая
1528,CDG10:4515&nbsp;Мая
1529,3 ч. 55 мин.
1530,SVO18:5515&nbsp;Мая
1531,CDG20:5515&nbsp;Мая
1532,4 ч. 0 мин.
1533,Вылет
1534,Прилет
1535,В пути
1536,CDG07:3028&nbsp;Мая
1537,SVO13:1028&nbsp;Мая
1538,3 ч. 40 мин.
1539,CDG19:3028&nbsp;Мая
1540,SVO01:1029&nbsp;Мая
1541,3 ч. 40 мин.
1542,Вылет
1543,Прилет
1544,В пути
1545,DME10:3515&nbsp;Мая
1546,ORY12:4015&nbsp;Мая
1547,4 ч. 5 мин.
1548,Вылет
1549,Прилет
1550,В пути
1551,ORY09:2028&nbsp;Мая
1552,VKO15:0028&nbsp;Мая
1553,3 ч. 40 мин.
1554,ORY15:3028&nbsp;Мая
1555,VKO21:3028&nbsp;Мая
1556,4 ч. 0 мин.
1557,Вылет
1558,Прилет
1559,В пути
1560,SVO18:5515&nbsp;Мая
1561,CDG20:5515&nbsp;Мая
1562,4 ч. 0 мин.
1563,Вылет
1564,Прилет
1565,В пути
1566,CDG09:3528&nbsp;Мая
1567,SVO15:1528&nbsp;Мая
1568,3 ч. 40 мин.
1569,CDG14:0028&nbsp;Мая
1570,SVO19:3028&nbsp;Мая
1571,3 ч. 30 мин.
1572,CDG15:5528&nbsp;Мая
1573,SVO21:2528&nbsp;Мая
1574,3 ч. 30 мин.
1575,Вылет
1576,Прилет
1577,В пути
1578,DME10:3515&nbsp;Мая
1579,ORY12:4015&nbsp;Мая
1580,4 ч. 5 мин.
1581,Вылет
1582,Прилет
1583,В пути
1584,ORY09:2028&nbsp;Мая
1585,VKO15:0028&nbsp;Мая
1586,3 ч. 40 мин.
1587,ORY15:3028&nbsp;Мая
1588,VKO21:3028&nbsp;Мая
1589,4 ч. 0 мин.
1590,Вылет
1591,Прилет
1592,В пути
1593,SVO08:5015&nbsp;Мая
1594,CDG10:4515&nbsp;Мая
1595,3 ч. 55 мин.
1596,SVO18:5515&nbsp;Мая
1597,CDG20:5515&nbsp;Мая
1598,4 ч. 0 мин.
1599,Вылет
1600,Прилет
1601,В пути
1602,CDG16:0028&nbsp;Мая
1603,SVO21:4028&nbsp;Мая
1604,3 ч. 40 мин.
1605,Вылет
1606,Прилет
1607,В пути
1608,SVO07:2515&nbsp;Мая
1609,CDG09:2015&nbsp;Мая
1610,3 ч. 55 мин.
1611,SVO08:5015&nbsp;Мая
1612,CDG10:4515&nbsp;Мая
1613,3 ч. 55 мин.
1614,SVO09:4515&nbsp;Мая
1615,CDG11:4015&nbsp;Мая
1616,3 ч. 55 мин.
1617,SVO11:1015&nbsp;Мая
1618,CDG13:1015&nbsp;Мая
1619,4 ч. 0 мин.
1620,SVO12:4015&nbsp;Мая
1621,CDG14:3515&nbsp;Мая
1622,3 ч. 55 мин.
1623,SVO14:1015&nbsp;Мая
1624,CDG16:0515&nbsp;Мая
1625,3 ч. 55 мин.
1626,SVO15:0515&nbsp;Мая
1627,CDG17:0015&nbsp;Мая
1628,3 ч. 55 мин.
1629,SVO16:1515&nbsp;Мая
1630,CDG18:1015&nbsp;Мая
1631,3 ч. 55 мин.
1632,SVO18:5515&nbsp;Мая
1633,CDG20:5515&nbsp;Мая
1634,4 ч. 0 мин.
1635,SVO19:4515&nbsp;Мая
1636,CDG21:4015&nbsp;Мая
1637,3 ч. 55 мин.
1638,Вылет
1639,Прилет
1640,В пути
1641,ORY15:3028&nbsp;Мая
1642,VKO21:3028&nbsp;Мая
1643,4 ч. 0 мин.
1644,Вылет
1645,Прилет
1646,В пути
1647,DME10:3515&nbsp;Мая
1648,ORY12:4015&nbsp;Мая
1649,4 ч. 5 мин.
1650,Вылет
1651,Прилет
1652,В пути
1653,CDG07:3028&nbsp;Мая
1654,SVO13:1028&nbsp;Мая
1655,3 ч. 40 мин.
1656,CDG09:3528&nbsp;Мая
1657,SVO15:1528&nbsp;Мая
1658,3 ч. 40 мин.
1659,CDG11:4528&nbsp;Мая
1660,SVO17:2028&nbsp;Мая
1661,3 ч. 35 мин.
1662,CDG12:4528&nbsp;Мая
1663,SVO18:3528&nbsp;Мая
1664,3 ч. 50 мин.
1665,CDG14:0028&nbsp;Мая
1666,SVO19:3028&nbsp;Мая
1667,3 ч. 30 мин.
1668,CDG15:5528&nbsp;Мая
1669,SVO21:2528&nbsp;Мая
1670,3 ч. 30 мин.
1671,CDG16:0028&nbsp;Мая
1672,SVO21:4028&nbsp;Мая
1673,3 ч. 40 мин.
1674,CDG18:1028&nbsp;Мая
1675,SVO23:4528&nbsp;Мая
1676,3 ч. 35 мин.
1677,CDG19:3028&nbsp;Мая
1678,SVO01:1029&nbsp;Мая
1679,3 ч. 40 мин.
1680,CDG23:2528&nbsp;Мая
1681,SVO05:0029&nbsp;Мая
1682,3 ч. 35 мин.
