,raw
243,Вылет
244,Прилет
245,В пути
246,CDG09:2028&nbsp;Мая
247,VKO18:2528&nbsp;Мая
248,7 ч. 5 мин.
249,CDG10:5028&nbsp;Мая
250,VKO18:2528&nbsp;Мая
251,5 ч. 35 мин.
252,CDG17:5528&nbsp;Мая
253,VKO01:5529&nbsp;Мая
254,6 ч. 0 мин.
255,Вылет
256,Прилет
257,В пути
258,VKO15:4015&nbsp;Мая
259,CDG19:1515&nbsp;Мая
260,5 ч. 35 мин.
261,VKO15:4015&nbsp;Мая
262,CDG21:3515&nbsp;Мая
263,7 ч. 55 мин.
264,Вылет
265,Прилет
266,В пути
267,CDG11:0028&nbsp;Мая
268,SVO20:0528&nbsp;Мая
269,7 ч. 5 мин.
270,Вылет
271,Прилет
272,В пути
273,DME06:3515&nbsp;Мая
274,CDG13:1515&nbsp;Мая
275,8 ч. 40 мин.
276,DME06:3515&nbsp;Мая
277,CDG10:1015&nbsp;Мая
278,5 ч. 35 мин.
279,DME06:3515&nbsp;Мая
280,CDG11:4015&nbsp;Мая
281,7 ч. 5 мин.
282,DME18:0015&nbsp;Мая
283,CDG21:4015&nbsp;Мая
284,5 ч. 40 мин.
285,Вылет
286,Прилет
287,В пути
288,CDG09:2028&nbsp;Мая
289,VKO18:2528&nbsp;Мая
290,7 ч. 5 мин.
291,CDG10:5028&nbsp;Мая
292,VKO18:2528&nbsp;Мая
293,5 ч. 35 мин.
294,CDG17:5528&nbsp;Мая
295,VKO01:5529&nbsp;Мая
296,6 ч. 0 мин.
297,Вылет
298,Прилет
299,В пути
300,VKO15:4015&nbsp;Мая
301,CDG19:1515&nbsp;Мая
302,5 ч. 35 мин.
303,VKO15:4015&nbsp;Мая
304,CDG21:3515&nbsp;Мая
305,7 ч. 55 мин.
306,Вылет
307,Прилет
308,В пути
309,CDG07:0028&nbsp;Мая
310,VKO14:5028&nbsp;Мая
311,5 ч. 50 мин.
312,Вылет
313,Прилет
314,В пути
315,VKO15:4015&nbsp;Мая
316,CDG19:1515&nbsp;Мая
317,5 ч. 35 мин.
318,VKO15:4015&nbsp;Мая
319,CDG21:3515&nbsp;Мая
320,7 ч. 55 мин.
321,Вылет
322,Прилет
323,В пути
324,CDG06:1028&nbsp;Мая
325,SVO14:4528&nbsp;Мая
326,6 ч. 35 мин.
327,Вылет
328,Прилет
329,В пути
330,DME18:3515&nbsp;Мая
331,CDG21:5515&nbsp;Мая
332,5 ч. 20 мин.
333,Вылет
334,Прилет
335,В пути
336,CDG11:0028&nbsp;Мая
337,SVO20:0528&nbsp;Мая
338,7 ч. 5 мин.
339,Вылет
340,Прилет
341,В пути
342,SVO16:3015&nbsp;Мая
343,CDG22:2015&nbsp;Мая
344,7 ч. 50 мин.
345,Вылет
346,Прилет
347,В пути
348,CDG07:2528&nbsp;Мая
349,SVO15:3528&nbsp;Мая
350,6 ч. 10 мин.
351,CDG13:2528&nbsp;Мая
352,SVO21:4028&nbsp;Мая
353,6 ч. 15 мин.
354,CDG20:2028&nbsp;Мая
355,SVO04:0529&nbsp;Мая
356,5 ч. 45 мин.
357,Вылет
358,Прилет
359,В пути
360,DME18:3515&nbsp;Мая
361,CDG21:5515&nbsp;Мая
362,5 ч. 20 мин.
363,Вылет
364,Прилет
365,В пути
366,CDG06:1028&nbsp;Мая
367,SVO14:4528&nbsp;Мая
368,6 ч. 35 мин.
369,Вылет
370,Прилет
371,В пути
372,DME06:3515&nbsp;Мая
373,CDG13:1515&nbsp;Мая
374,8 ч. 40 мин.
375,DME06:3515&nbsp;Мая
376,CDG10:1015&nbsp;Мая
377,5 ч. 35 мин.
378,DME06:3515&nbsp;Мая
379,CDG11:4015&nbsp;Мая
380,7 ч. 5 мин.
381,DME18:0015&nbsp;Мая
382,CDG21:4015&nbsp;Мая
383,5 ч. 40 мин.
384,Вылет
385,Прилет
386,В пути
387,CDG07:0028&nbsp;Мая
388,DME14:3528&nbsp;Мая
389,5 ч. 35 мин.
390,CDG18:3028&nbsp;Мая
391,DME02:2529&nbsp;Мая
392,5 ч. 55 мин.
393,Вылет
394,Прилет
395,В пути
396,SVO15:4515&nbsp;Мая
397,CDG19:3515&nbsp;Мая
398,5 ч. 50 мин.
399,SVO15:4515&nbsp;Мая
400,CDG22:0515&nbsp;Мая
401,8 ч. 20 мин.
402,Вылет
403,Прилет
404,В пути
405,CDG09:2028&nbsp;Мая
406,DME17:3028&nbsp;Мая
407,6 ч. 10 мин.
408,Вылет
409,Прилет
410,В пути
411,DME18:3515&nbsp;Мая
412,CDG21:5515&nbsp;Мая
413,5 ч. 20 мин.
414,Вылет
415,Прилет
416,В пути
417,CDG07:0028&nbsp;Мая
418,VKO14:5028&nbsp;Мая
419,5 ч. 50 мин.
420,Вылет
421,Прилет
422,В пути
423,DME18:3515&nbsp;Мая
424,CDG21:5515&nbsp;Мая
425,5 ч. 20 мин.
426,Вылет
427,Прилет
428,В пути
429,CDG09:5028&nbsp;Мая
430,DME17:5528&nbsp;Мая
431,6 ч. 5 мин.
432,Вылет
433,Прилет
434,В пути
435,VKO15:4015&nbsp;Мая
436,CDG19:1515&nbsp;Мая
437,5 ч. 35 мин.
438,VKO15:4015&nbsp;Мая
439,CDG21:3515&nbsp;Мая
440,7 ч. 55 мин.
441,Вылет
442,Прилет
443,В пути
444,CDG07:1528&nbsp;Мая
445,SVO15:1028&nbsp;Мая
446,5 ч. 55 мин.
447,CDG07:1528&nbsp;Мая
448,SVO16:3528&nbsp;Мая
449,7 ч. 20 мин.
450,Вылет
451,Прилет
452,В пути
453,SVO16:0015&nbsp;Мая
454,CDG19:3515&nbsp;Мая
455,5 ч. 35 мин.
456,Вылет
457,Прилет
458,В пути
459,CDG07:2528&nbsp;Мая
460,SVO15:3528&nbsp;Мая
461,6 ч. 10 мин.
462,CDG13:2528&nbsp;Мая
463,SVO21:4028&nbsp;Мая
464,6 ч. 15 мин.
465,CDG20:2028&nbsp;Мая
466,SVO04:0529&nbsp;Мая
467,5 ч. 45 мин.
468,Вылет
469,Прилет
470,В пути
471,DME04:5515&nbsp;Мая
472,CDG08:1015&nbsp;Мая
473,5 ч. 15 мин.
474,Вылет
475,Прилет
476,В пути
477,CDG08:5528&nbsp;Мая
478,DME15:4528&nbsp;Мая
479,4 ч. 50 мин.
480,CDG21:0028&nbsp;Мая
481,DME03:5029&nbsp;Мая
482,4 ч. 50 мин.
483,Вылет
484,Прилет
485,В пути
486,SVO05:3015&nbsp;Мая
487,CDG09:2515&nbsp;Мая
488,5 ч. 55 мин.
489,SVO05:3015&nbsp;Мая
490,CDG10:4515&nbsp;Мая
491,7 ч. 15 мин.
492,SVO05:3015&nbsp;Мая
493,CDG12:0015&nbsp;Мая
494,8 ч. 30 мин.
495,Вылет
496,Прилет
497,В пути
498,CDG08:4528&nbsp;Мая
499,SVO17:0028&nbsp;Мая
500,6 ч. 15 мин.
501,CDG09:3528&nbsp;Мая
502,SVO18:1528&nbsp;Мая
503,6 ч. 40 мин.
504,CDG09:3528&nbsp;Мая
505,SVO17:0028&nbsp;Мая
506,5 ч. 25 мин.
507,CDG10:2028&nbsp;Мая
508,SVO18:1528&nbsp;Мая
509,5 ч. 55 мин.
510,CDG16:4028&nbsp;Мая
511,SVO02:0529&nbsp;Мая
512,7 ч. 25 мин.
513,CDG18:4028&nbsp;Мая
514,SVO02:0529&nbsp;Мая
515,5 ч. 25 мин.
516,Вылет
517,Прилет
518,В пути
519,DME18:3515&nbsp;Мая
520,CDG21:5515&nbsp;Мая
521,5 ч. 20 мин.
522,Вылет
523,Прилет
524,В пути
525,CDG07:1528&nbsp;Мая
526,SVO15:1028&nbsp;Мая
527,5 ч. 55 мин.
528,CDG07:1528&nbsp;Мая
529,SVO16:3528&nbsp;Мая
530,7 ч. 20 мин.
531,Вылет
532,Прилет
533,В пути
534,SVO15:4515&nbsp;Мая
535,CDG19:3515&nbsp;Мая
536,5 ч. 50 мин.
537,SVO15:4515&nbsp;Мая
538,CDG22:0515&nbsp;Мая
539,8 ч. 20 мин.
540,Вылет
541,Прилет
542,В пути
543,CDG06:1028&nbsp;Мая
544,SVO14:4528&nbsp;Мая
545,6 ч. 35 мин.
546,Вылет
547,Прилет
548,В пути
549,SVO11:4015&nbsp;Мая
550,CDG17:5515&nbsp;Мая
551,8 ч. 15 мин.
552,Вылет
553,Прилет
554,В пути
555,CDG12:4028&nbsp;Мая
556,DME21:3028&nbsp;Мая
557,6 ч. 50 мин.
558,CDG12:4028&nbsp;Мая
559,DME22:3028&nbsp;Мая
560,7 ч. 50 мин.
561,Вылет
562,Прилет
563,В пути
564,SVO15:4515&nbsp;Мая
565,CDG19:3515&nbsp;Мая
566,5 ч. 50 мин.
567,SVO15:4515&nbsp;Мая
568,CDG22:0515&nbsp;Мая
569,8 ч. 20 мин.
570,Вылет
571,Прилет
572,В пути
573,CDG11:0028&nbsp;Мая
574,SVO20:0528&nbsp;Мая
575,7 ч. 5 мин.
576,Вылет
577,Прилет
578,В пути
579,SVO15:4515&nbsp;Мая
580,CDG19:3515&nbsp;Мая
581,5 ч. 50 мин.
582,SVO15:4515&nbsp;Мая
583,CDG22:0515&nbsp;Мая
584,8 ч. 20 мин.
585,Вылет
586,Прилет
587,В пути
588,CDG07:0028&nbsp;Мая
589,VKO14:5028&nbsp;Мая
590,5 ч. 50 мин.
591,Вылет
592,Прилет
593,В пути
594,SVO15:4515&nbsp;Мая
595,CDG19:3515&nbsp;Мая
596,5 ч. 50 мин.
597,SVO15:4515&nbsp;Мая
598,CDG22:0515&nbsp;Мая
599,8 ч. 20 мин.
600,Вылет
601,Прилет
602,В пути
603,CDG06:1028&nbsp;Мая
604,SVO14:4528&nbsp;Мая
605,6 ч. 35 мин.
606,Вылет
607,Прилет
608,В пути
609,SVO05:5015&nbsp;Мая
610,CDG11:0515&nbsp;Мая
611,7 ч. 15 мин.
612,SVO17:4515&nbsp;Мая
613,CDG23:2515&nbsp;Мая
614,7 ч. 40 мин.
615,Вылет
616,Прилет
617,В пути
618,CDG08:4528&nbsp;Мая
619,SVO17:0028&nbsp;Мая
620,6 ч. 15 мин.
621,CDG09:3528&nbsp;Мая
622,SVO18:1528&nbsp;Мая
623,6 ч. 40 мин.
624,CDG09:3528&nbsp;Мая
625,SVO17:0028&nbsp;Мая
626,5 ч. 25 мин.
627,CDG10:2028&nbsp;Мая
628,SVO18:1528&nbsp;Мая
629,5 ч. 55 мин.
630,CDG16:4028&nbsp;Мая
631,SVO02:0529&nbsp;Мая
632,7 ч. 25 мин.
633,CDG18:4028&nbsp;Мая
634,SVO02:0529&nbsp;Мая
635,5 ч. 25 мин.
636,Вылет
637,Прилет
638,В пути
639,DME16:3015&nbsp;Мая
640,CDG20:1515&nbsp;Мая
641,5 ч. 45 мин.
642,Вылет
643,Прилет
644,В пути
645,CDG08:5528&nbsp;Мая
646,DME15:4528&nbsp;Мая
647,4 ч. 50 мин.
648,CDG21:0028&nbsp;Мая
649,DME03:5029&nbsp;Мая
650,4 ч. 50 мин.
651,Вылет
652,Прилет
653,В пути
654,SVO05:3015&nbsp;Мая
655,CDG09:2515&nbsp;Мая
656,5 ч. 55 мин.
657,SVO05:3015&nbsp;Мая
658,CDG10:4515&nbsp;Мая
659,7 ч. 15 мин.
660,Вылет
661,Прилет
662,В пути
663,CDG08:4528&nbsp;Мая
664,SVO17:0028&nbsp;Мая
665,6 ч. 15 мин.
666,CDG09:3528&nbsp;Мая
667,SVO18:1528&nbsp;Мая
668,6 ч. 40 мин.
669,CDG09:3528&nbsp;Мая
670,SVO17:0028&nbsp;Мая
671,5 ч. 25 мин.
672,CDG10:2028&nbsp;Мая
673,SVO18:1528&nbsp;Мая
674,5 ч. 55 мин.
675,CDG16:4028&nbsp;Мая
676,SVO02:0529&nbsp;Мая
677,7 ч. 25 мин.
678,CDG18:4028&nbsp;Мая
679,SVO02:0529&nbsp;Мая
680,5 ч. 25 мин.
681,Вылет
682,Прилет
683,В пути
684,DME18:1515&nbsp;Мая
685,CDG22:1515&nbsp;Мая
686,6 ч. 0 мин.
687,Вылет
688,Прилет
689,В пути
690,CDG16:5528&nbsp;Мая
691,DME01:2529&nbsp;Мая
692,6 ч. 30 мин.
693,Вылет
694,Прилет
695,В пути
696,DME17:1515&nbsp;Мая
697,ORY21:3515&nbsp;Мая
698,6 ч. 20 мин.
699,Вылет
700,Прилет
701,В пути
702,ORY19:4028&nbsp;Мая
703,DME04:2029&nbsp;Мая
704,6 ч. 40 мин.
705,Вылет
706,Прилет
707,В пути
708,SVO16:3015&nbsp;Мая
709,CDG22:2015&nbsp;Мая
710,7 ч. 50 мин.
711,Вылет
712,Прилет
713,В пути
714,CDG13:2528&nbsp;Мая
715,SVO22:3528&nbsp;Мая
716,7 ч. 10 мин.
717,Вылет
718,Прилет
719,В пути
720,SVO05:3015&nbsp;Мая
721,CDG09:2515&nbsp;Мая
722,5 ч. 55 мин.
723,SVO05:3015&nbsp;Мая
724,CDG10:4515&nbsp;Мая
725,7 ч. 15 мин.
726,SVO05:3015&nbsp;Мая
727,CDG12:0015&nbsp;Мая
728,8 ч. 30 мин.
729,Вылет
730,Прилет
731,В пути
732,CDG17:5028&nbsp;Мая
733,SVO02:0529&nbsp;Мая
734,6 ч. 15 мин.
735,Вылет
736,Прилет
737,В пути
738,DME10:3515&nbsp;Мая
739,ORY12:4015&nbsp;Мая
740,4 ч. 5 мин.
741,Вылет
742,Прилет
743,В пути
744,ORY09:2028&nbsp;Мая
745,VKO15:0028&nbsp;Мая
746,3 ч. 40 мин.
747,ORY15:3028&nbsp;Мая
748,VKO21:3028&nbsp;Мая
749,4 ч. 0 мин.
750,Вылет
751,Прилет
752,В пути
753,DME18:1515&nbsp;Мая
754,CDG22:1515&nbsp;Мая
755,6 ч. 0 мин.
756,Вылет
757,Прилет
758,В пути
759,CDG11:0028&nbsp;Мая
760,SVO20:0528&nbsp;Мая
761,7 ч. 5 мин.
762,Вылет
763,Прилет
764,В пути
765,DME18:1515&nbsp;Мая
766,CDG22:1515&nbsp;Мая
767,6 ч. 0 мин.
768,Вылет
769,Прилет
770,В пути
771,CDG07:0028&nbsp;Мая
772,VKO14:5028&nbsp;Мая
773,5 ч. 50 мин.
774,Вылет
