,arr_time,dep_time,dur_hours,dur_minutes,fl_class,fl_from,fl_to,parse_time
182,2013-05-30 18:10,2013-05-30 06:45,9,25,B,LED,ROM,2013-05-13 16:25
183,2013-05-30 18:10,2013-05-30 10:10,6,0,B,LED,ROM,2013-05-13 16:25
184,2013-05-31 00:15,2013-05-30 13:20,8,55,B,LED,ROM,2013-05-13 16:25
185,2013-05-31 00:15,2013-05-30 14:55,7,20,B,LED,ROM,2013-05-13 16:25
186,2013-05-16 19:05,2013-05-16 15:05,6,0,B,LED,ROM,2013-05-13 16:25
187,2013-05-31 03:25,2013-05-30 15:05,10,20,B,LED,ROM,2013-05-13 16:25
188,2013-05-16 19:05,2013-05-16 15:05,6,0,B,LED,ROM,2013-05-13 16:25
189,2013-05-16 22:40,2013-05-16 15:05,9,35,B,LED,ROM,2013-05-13 16:25
190,2013-05-30 16:00,2013-05-30 06:40,7,20,B,LED,ROM,2013-05-13 16:25
191,2013-05-31 00:25,2013-05-30 06:40,15,45,B,LED,ROM,2013-05-13 16:25
192,2013-05-30 16:00,2013-05-30 08:45,5,15,B,LED,ROM,2013-05-13 16:25
193,2013-05-31 00:25,2013-05-30 08:45,13,40,B,LED,ROM,2013-05-13 16:25
194,2013-05-31 00:25,2013-05-30 12:05,10,20,B,LED,ROM,2013-05-13 16:25
195,2013-05-31 00:25,2013-05-30 14:30,7,55,B,LED,ROM,2013-05-13 16:25
196,2013-05-31 00:25,2013-05-30 17:20,5,5,B,LED,ROM,2013-05-13 16:25
197,2013-05-16 21:00,2013-05-16 17:10,5,50,B,LED,ROM,2013-05-13 16:25
198,2013-05-30 16:00,2013-05-30 06:40,7,20,B,LED,ROM,2013-05-13 16:25
199,2013-05-30 16:00,2013-05-30 08:45,5,15,B,LED,ROM,2013-05-13 16:25
200,2013-05-31 00:25,2013-05-30 12:05,10,20,B,LED,ROM,2013-05-13 16:25
201,2013-05-31 00:25,2013-05-30 14:30,7,55,B,LED,ROM,2013-05-13 16:25
202,2013-05-31 00:25,2013-05-30 17:20,5,5,B,LED,ROM,2013-05-13 16:25
203,2013-05-16 19:05,2013-05-16 15:05,6,0,B,LED,ROM,2013-05-13 16:25
204,2013-05-16 22:40,2013-05-16 15:05,9,35,B,LED,ROM,2013-05-13 16:25
205,2013-05-31 14:15,2013-05-30 19:55,16,20,B,LED,ROM,2013-05-13 16:25
206,2013-05-16 21:00,2013-05-16 17:10,5,50,B,LED,ROM,2013-05-13 16:25
207,2013-05-30 18:10,2013-05-30 06:45,9,25,B,LED,ROM,2013-05-13 16:25
208,2013-05-30 18:10,2013-05-30 10:10,6,0,B,LED,ROM,2013-05-13 16:25
209,2013-05-31 00:15,2013-05-30 13:20,8,55,B,LED,ROM,2013-05-13 16:25
210,2013-05-31 00:15,2013-05-30 14:55,7,20,B,LED,ROM,2013-05-13 16:25
211,2013-05-16 19:05,2013-05-16 15:05,6,0,B,LED,ROM,2013-05-13 16:25
212,2013-05-16 22:40,2013-05-16 15:05,9,35,B,LED,ROM,2013-05-13 16:25
213,2013-05-31 00:15,2013-05-30 06:45,15,30,B,LED,ROM,2013-05-13 16:25
214,2013-05-30 18:10,2013-05-30 06:45,9,25,B,LED,ROM,2013-05-13 16:25
215,2013-05-31 00:15,2013-05-30 10:10,12,5,B,LED,ROM,2013-05-13 16:25
216,2013-05-30 18:10,2013-05-30 10:10,6,0,B,LED,ROM,2013-05-13 16:25
217,2013-05-31 00:15,2013-05-30 13:20,8,55,B,LED,ROM,2013-05-13 16:25
218,2013-05-31 00:15,2013-05-30 14:55,7,20,B,LED,ROM,2013-05-13 16:25
219,2013-05-16 19:05,2013-05-16 15:05,6,0,B,LED,ROM,2013-05-13 16:25
220,2013-05-16 22:40,2013-05-16 15:05,9,35,B,LED,ROM,2013-05-13 16:25
221,2013-05-31 03:25,2013-05-30 15:05,10,20,B,LED,ROM,2013-05-13 16:25
222,2013-05-16 19:05,2013-05-16 15:05,6,0,B,LED,ROM,2013-05-13 16:25
223,2013-05-16 22:40,2013-05-16 15:05,9,35,B,LED,ROM,2013-05-13 16:25
224,2013-05-31 16:00,2013-05-30 19:05,18,55,B,LED,ROM,2013-05-13 16:25
225,2013-05-16 19:05,2013-05-16 15:05,6,0,B,LED,ROM,2013-05-13 16:25
226,2013-05-16 22:40,2013-05-16 15:05,9,35,B,LED,ROM,2013-05-13 16:25
227,2013-05-31 14:50,2013-05-30 20:05,16,45,B,LED,ROM,2013-05-13 16:25
228,2013-05-31 17:00,2013-05-30 20:05,18,55,B,LED,ROM,2013-05-13 16:25
229,2013-05-16 22:35,2013-05-16 18:30,6,5,B,LED,ROM,2013-05-13 16:25
230,2013-05-30 15:35,2013-05-30 07:00,6,35,B,LED,ROM,2013-05-13 16:25
231,2013-05-30 15:35,2013-05-30 07:10,6,25,B,LED,ROM,2013-05-13 16:25
232,2013-05-30 15:35,2013-05-30 07:10,6,25,B,LED,ROM,2013-05-13 16:25
