"","price.index","arr_time.x","dep_time.x","dur_hours.x","dur_minutes.x","parse_time.x","fl_class.x","fl_from.x","fl_to.x","arr_time.y","dep_time.y","dur_hours.y","dur_minutes.y","parse_time.y","fl_class.y","fl_from.y","fl_to.y","changes1","changes2","ncomp","options1","options2","price","stops1","stops2","opt.sum","Aeroflot","Aigle Azur","Air Berlin","Air France","Alitalia","British Airways","Czech Airlines","Finnair","KLM","LOT Polish Airlines","Lufthansa","Niki Luftfahrt","Rossiya","SAS","Swiss","Transaero","Tyrolean","Ukraine Intl"
"19",9,"2013-05-15 21:55","2013-05-15 18:35",5,20,"2013-05-10 23:51","E","MOW","PAR","2013-05-29 02:25","2013-05-28 18:30",5,55,"2013-05-10 23:51","E","MOW","PAR",1,2,2,1,2,15383,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"20",10,"2013-05-15 10:10","2013-05-15 06:35",5,35,"2013-05-10 23:51","E","MOW","PAR","2013-05-29 02:20","2013-05-28 18:45",5,35,"2013-05-10 23:51","E","MOW","PAR",4,1,2,4,1,15597,1,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"21",10,"2013-05-15 11:40","2013-05-15 06:35",7,5,"2013-05-10 23:51","E","MOW","PAR","2013-05-29 02:20","2013-05-28 18:45",5,35,"2013-05-10 23:51","E","MOW","PAR",4,1,2,4,1,15597,1,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"22",10,"2013-05-15 13:15","2013-05-15 06:35",8,40,"2013-05-10 23:51","E","MOW","PAR","2013-05-29 02:20","2013-05-28 18:45",5,35,"2013-05-10 23:51","E","MOW","PAR",4,1,2,4,1,15597,1,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"23",10,"2013-05-15 21:40","2013-05-15 18:00",5,40,"2013-05-10 23:51","E","MOW","PAR","2013-05-29 02:20","2013-05-28 18:45",5,35,"2013-05-10 23:51","E","MOW","PAR",4,1,2,4,1,15597,1,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"24",11,"2013-05-15 09:00","2013-05-15 05:30",5,30,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 21:40","2013-05-28 13:25",6,15,"2013-05-10 23:51","E","MOW","PAR",2,1,3,2,1,15598,1,1,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"25",11,"2013-05-15 19:35","2013-05-15 16:00",5,35,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 21:40","2013-05-28 13:25",6,15,"2013-05-10 23:51","E","MOW","PAR",2,1,3,2,1,15598,1,1,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"26",12,"2013-05-15 19:35","2013-05-15 12:25",9,10,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 15:35","2013-05-28 07:25",6,10,"2013-05-10 23:51","E","MOW","PAR",2,3,2,2,3,15598,1,1,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"27",12,"2013-05-15 19:35","2013-05-15 12:25",9,10,"2013-05-10 23:51","E","MOW","PAR","2013-05-29 04:05","2013-05-28 18:10",7,55,"2013-05-10 23:51","E","MOW","PAR",2,3,2,2,3,15598,1,1,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"28",12,"2013-05-15 19:35","2013-05-15 12:25",9,10,"2013-05-10 23:51","E","MOW","PAR","2013-05-29 04:05","2013-05-28 20:20",5,45,"2013-05-10 23:51","E","MOW","PAR",2,3,2,2,3,15598,1,1,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"29",12,"2013-05-15 22:20","2013-05-15 16:30",7,50,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 15:35","2013-05-28 07:25",6,10,"2013-05-10 23:51","E","MOW","PAR",2,3,2,2,3,15598,1,1,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
